SmartBroom Sweep
Ouput format;1
SweepID;6AD38273-A041-4188-B36E-296E1E220BEF
Sweep units;Metric
SmartBroom name;SMARTBROOM LCK
SmartBroom serial;202107-25
SmartBroom hardware;1.0
SmartBroom firmware;1.1.1
Sweeper;Magnus N
Notes;Pilot
Sweep start;2021-11-18 - 09:51

Date;Time (s);Push force (kg);Pull force (kg);Frequency (Hz);SPI;Temperature (ºC);Voltage (V);SOC (%);RSSI (db);;
2021-11-18 - 09:51;7.00;0.0;0.0;0.0;0;16.1;3.9;64;-71;0;0.0;
2021-11-18 - 09:51;7.50;12.0;0.0;0.0;0;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:51;8.00;35.0;10.5;4.3;2044;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:51;8.50;56.0;10.1;4.4;2745;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:51;9.00;69.3;8.5;4.6;2951;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:51;9.50;70.4;10.3;4.6;2687;16.1;3.9;64;-70;0;0.0;
2021-11-18 - 09:51;10.00;75.0;9.1;4.6;2788;16.1;3.9;64;-70;0;0.0;
2021-11-18 - 09:51;10.50;74.3;10.1;4.6;2680;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:51;11.00;76.2;9.3;4.6;2715;16.1;3.9;64;-69;0;0.0;
2021-11-18 - 09:52;11.50;77.1;8.8;4.5;2673;16.1;3.9;64;-70;0;0.0;
2021-11-18 - 09:52;12.00;73.5;9.4;4.5;2492;16.1;3.9;65;-70;0;0.0;
2021-11-18 - 09:52;12.50;76.4;7.5;4.5;2657;16.1;3.9;65;-64;0;0.0;
2021-11-18 - 09:52;13.00;77.7;7.2;4.4;2620;16.1;3.9;65;-64;0;0.0;
2021-11-18 - 09:52;13.50;72.6;6.9;4.4;2203;16.1;3.9;65;-68;0;0.0;
2021-11-18 - 09:52;14.00;74.3;6.7;4.3;2431;16.1;3.9;65;-65;0;0.0;
2021-11-18 - 09:52;14.50;76.4;8.0;4.3;2616;16.1;3.9;65;-65;0;0.0;
2021-11-18 - 09:52;15.00;74.0;11.0;4.3;2521;16.1;3.9;65;-71;0;0.0;
2021-11-18 - 09:52;15.50;65.0;15.0;4.3;2214;16.1;3.9;65;-71;0;0.0;
2021-11-18 - 09:52;16.00;62.2;13.2;4.2;2050;16.1;3.9;65;-78;0;0.0;
2021-11-18 - 09:52;16.50;65.6;10.1;4.2;2161;16.1;3.9;65;-78;0;0.0;
2021-11-18 - 09:52;17.00;65.0;8.8;4.2;2068;16.1;3.9;65;-70;0;0.0;
2021-11-18 - 09:52;17.50;68.2;7.7;4.2;2242;16.1;3.9;65;-70;0;0.0;
2021-11-18 - 09:52;18.00;68.1;5.8;4.2;2106;16.1;3.9;65;-77;0;0.0;
2021-11-18 - 09:52;18.50;69.8;4.4;4.2;2162;16.1;3.9;65;-77;0;0.0;
