SmartBroom Sweep
Ouput format;1
SweepID;8F67309E-75A5-41A6-A9CE-E61E9FBEF41F
Sweep units;Metric
SmartBroom name;SMARTBROOM LCK
SmartBroom serial;202107-25
SmartBroom hardware;1.0
SmartBroom firmware;1.1.1
Sweeper;Fullprodpilot
Notes;
Sweep start;2021-11-16 - 17:46

Date;Time (s);Push force (kg);Pull force (kg);Frequency (Hz);SPI;Temperature (ºC);Voltage (V);SOC (%);RSSI (db);;
2021-11-16 - 17:46;5.50;0.0;0.0;0.0;0;22.9;3.9;71;-63;0;0.0;
2021-11-16 - 17:46;6.00;0.0;3.0;0.0;0;22.9;3.9;71;-63;0;0.0;
2021-11-16 - 17:46;6.50;9.0;0.0;0.0;0;22.9;3.9;71;-69;0;0.0;
2021-11-16 - 17:46;7.00;9.5;2.5;3.4;290;22.9;3.9;71;-69;0;0.0;
2021-11-16 - 17:46;7.50;9.2;3.5;3.4;314;22.9;3.9;71;-54;0;0.0;
2021-11-16 - 17:46;8.00;9.4;3.2;3.2;273;22.9;3.9;71;-54;0;0.0;
2021-11-16 - 17:46;8.50;9.7;3.1;3.3;299;22.9;3.9;71;-59;0;0.0;
2021-11-16 - 17:46;9.00;10.3;2.8;3.2;300;22.9;3.9;71;-59;0;0.0;
2021-11-16 - 17:46;9.50;11.2;2.9;3.2;339;22.9;3.9;71;-57;0;0.0;
2021-11-16 - 17:46;10.00;11.1;3.0;3.3;322;22.9;3.9;71;-53;0;0.0;
2021-11-16 - 17:46;10.50;11.5;2.7;3.2;325;22.9;3.9;71;-53;0;0.0;
2021-11-16 - 17:46;11.00;12.0;2.1;3.3;322;22.9;3.9;71;-58;0;0.0;
2021-11-16 - 17:46;11.50;12.0;2.5;3.2;335;22.9;3.9;71;-58;0;0.0;
2021-11-16 - 17:46;12.00;12.0;1.8;3.2;287;22.9;3.9;71;-53;0;0.0;
2021-11-16 - 17:46;12.50;11.8;1.9;3.2;301;22.9;3.9;71;-53;0;0.0;
2021-11-16 - 17:46;13.00;10.9;1.7;3.2;257;22.9;3.9;71;-61;0;0.0;
2021-11-16 - 17:46;13.50;11.2;1.8;3.1;286;22.9;3.9;71;-61;0;0.0;
2021-11-16 - 17:46;14.00;11.1;2.4;3.1;294;22.9;3.9;71;-62;0;0.0;
2021-11-16 - 17:46;14.50;10.5;2.2;3.0;239;22.9;3.9;72;-62;0;0.0;
2021-11-16 - 17:46;15.00;9.5;1.6;2.9;190;22.9;3.9;72;-71;0;0.0;
2021-11-16 - 17:46;15.50;9.8;2.3;2.8;250;22.9;3.9;72;-54;0;0.0;
2021-11-16 - 17:46;16.00;9.1;2.6;2.8;229;22.9;3.9;72;-54;0;0.0;
2021-11-16 - 17:46;16.50;9.1;2.8;2.8;233;22.9;3.9;72;-62;0;0.0;
2021-11-16 - 17:46;17.00;11.3;1.9;2.9;296;22.9;3.9;72;-62;0;0.0;
2021-11-16 - 17:46;17.50;11.1;2.2;2.9;276;22.9;3.9;72;-59;0;0.0;
2021-11-16 - 17:46;18.00;11.6;2.6;2.9;303;22.9;3.9;72;-59;0;0.0;
2021-11-16 - 17:46;18.50;10.8;3.3;2.9;276;22.9;3.9;72;-56;0;0.0;
2021-11-16 - 17:46;19.00;11.4;3.4;2.8;290;22.9;3.9;72;-56;0;0.0;
2021-11-16 - 17:46;19.50;10.9;3.7;2.8;280;22.9;3.9;72;-50;0;0.0;
2021-11-16 - 17:46;20.00;11.5;2.9;2.8;270;22.9;3.9;72;-50;0;0.0;
2021-11-16 - 17:46;20.50;11.0;2.9;2.8;255;22.9;3.9;72;-64;0;0.0;
2021-11-16 - 17:46;21.00;10.5;3.5;2.8;272;22.9;3.9;72;-64;0;0.0;
2021-11-16 - 17:46;21.50;9.2;3.7;2.8;231;22.9;3.9;72;-62;0;0.0;
2021-11-16 - 17:46;22.00;9.6;3.9;2.8;265;22.9;3.9;72;-62;0;0.0;
2021-11-16 - 17:46;22.50;9.3;3.9;2.7;235;22.9;3.9;72;-55;0;0.0;
2021-11-16 - 17:47;23.00;10.2;4.0;2.7;287;22.9;3.9;72;-55;0;0.0;
2021-11-16 - 17:47;23.50;11.1;3.5;2.7;287;23.0;3.9;72;-54;0;0.0;
2021-11-16 - 17:47;24.00;0.0;2.7;2.8;38;23.0;3.9;72;-66;0;0.0;
2021-11-16 - 17:47;24.50;0.0;0.0;0.0;0;23.0;3.9;72;-66;0;0.0;
2021-11-16 - 17:47;59.50;0.0;0.0;0.0;0;23.1;3.9;71;-60;0;0.0;
2021-11-16 - 17:47;60.00;11.5;3.0;3.5;350;23.1;3.9;71;-60;0;0.0;
2021-11-16 - 17:47;60.50;12.0;3.8;3.5;409;23.1;3.9;71;-55;0;0.0;
2021-11-16 - 17:47;61.00;12.5;3.9;3.5;418;23.1;3.9;71;-55;0;0.0;
2021-11-16 - 17:47;61.50;13.2;4.4;3.6;484;23.1;3.9;71;-60;0;0.0;
2021-11-16 - 17:47;62.00;14.4;4.0;3.6;479;23.1;3.9;71;-60;0;0.0;
2021-11-16 - 17:47;62.50;14.7;4.5;3.6;512;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;63.00;14.6;3.7;3.6;445;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;63.50;13.8;3.9;3.6;417;23.1;3.9;71;-54;0;0.0;
2021-11-16 - 17:47;64.00;13.9;3.4;3.6;416;23.1;3.9;71;-54;0;0.0;
2021-11-16 - 17:47;64.50;13.4;3.7;3.7;444;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;65.00;13.7;3.4;3.6;409;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;65.50;13.6;3.2;3.5;402;23.1;3.9;71;-57;0;0.0;
2021-11-16 - 17:47;66.00;13.6;2.8;3.6;394;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;66.50;13.8;2.7;3.5;395;23.1;3.9;71;-56;0;0.0;
2021-11-16 - 17:47;67.00;12.9;2.8;3.4;356;23.1;3.9;71;-60;0;0.0;
