SmartBroom Sweep
Ouput format;1
SweepID;22256332-D8E1-460C-882C-0C4A995B200D
Sweep units;Metric
SmartBroom name;SMARTBROOM LCK
SmartBroom serial;202107-25
SmartBroom hardware;1.0
SmartBroom firmware;1.1.1
Sweeper;Magnus LL
Notes;Pilot
Sweep start;2021-11-17 - 19:53

Date;Time (s);Push force (kg);Pull force (kg);Frequency (Hz);SPI;Temperature (ºC);Voltage (V);SOC (%);RSSI (db);;
2021-11-17 - 19:53;17.50;0.0;0.0;0.0;0;16.4;3.8;41;-62;0;0.0;
2021-11-17 - 19:53;18.00;19.5;4.5;6.9;1143;16.4;3.8;41;-61;0;0.0;
2021-11-17 - 19:53;18.50;31.0;5.1;6.1;1779;16.4;3.8;41;-61;0;0.0;
2021-11-17 - 19:53;19.00;40.3;6.0;5.4;1819;16.4;3.8;41;-70;0;0.0;
2021-11-17 - 19:53;19.50;45.4;5.8;4.9;1734;16.4;3.8;41;-70;0;0.0;
2021-11-17 - 19:53;20.00;48.5;6.1;4.7;1790;16.4;3.8;41;-70;0;0.0;
2021-11-17 - 19:53;20.50;50.5;6.3;4.5;1799;16.4;3.8;41;-70;0;0.0;
2021-11-17 - 19:53;21.00;50.0;8.8;4.4;1841;16.4;3.8;41;-72;0;0.0;
2021-11-17 - 19:53;21.50;50.7;7.9;4.4;1745;16.4;3.8;41;-68;0;0.0;
2021-11-17 - 19:53;22.00;50.9;6.7;4.4;1692;16.4;3.8;41;-68;0;0.0;
2021-11-17 - 19:53;22.50;50.7;6.8;4.3;1708;16.4;3.8;41;-63;0;0.0;
2021-11-17 - 19:53;23.00;50.8;7.2;4.3;1718;16.4;3.8;41;-63;0;0.0;
2021-11-17 - 19:53;23.50;48.2;9.1;4.2;1654;16.4;3.8;41;-63;0;0.0;
2021-11-17 - 19:53;24.00;46.8;6.8;4.2;1471;16.4;3.8;41;-63;0;0.0;
2021-11-17 - 19:53;24.50;47.4;8.4;4.2;1683;16.4;3.8;41;-71;0;0.0;
2021-11-17 - 19:53;25.00;48.5;6.9;4.2;1598;16.4;3.8;42;-71;0;0.0;
2021-11-17 - 19:53;25.50;47.7;9.2;4.2;1702;16.4;3.8;42;-62;0;0.0;
2021-11-17 - 19:53;26.00;45.4;10.1;4.2;1580;16.4;3.8;42;-62;0;0.0;
2021-11-17 - 19:53;26.50;44.7;8.1;4.2;1440;16.4;3.8;42;-71;0;0.0;
2021-11-17 - 19:53;27.00;46.3;7.5;4.2;1574;16.4;3.8;42;-71;0;0.0;
2021-11-17 - 19:53;27.50;43.4;6.8;4.2;1344;16.4;3.8;42;-69;0;0.0;
2021-11-17 - 19:53;28.00;41.5;6.4;4.2;1319;16.4;3.8;42;-69;0;0.0;
2021-11-17 - 19:53;28.50;42.0;6.2;4.2;1416;16.4;3.8;42;-64;0;0.0;
2021-11-17 - 19:53;29.00;41.0;6.1;4.2;1322;16.4;3.8;42;-64;0;0.0;
2021-11-17 - 19:53;29.50;39.7;6.9;4.2;1322;16.4;3.8;42;-65;0;0.0;
2021-11-17 - 19:53;30.00;40.9;6.9;4.1;1394;16.4;3.8;42;-67;0;0.0;
2021-11-17 - 19:53;30.50;40.7;5.7;4.1;1274;16.4;3.8;42;-67;0;0.0;
2021-11-17 - 19:53;31.00;39.1;7.6;4.1;1331;16.4;3.8;42;-74;0;0.0;
2021-11-17 - 19:53;31.50;37.0;6.3;4.0;1112;16.4;3.8;42;-74;0;0.0;
2021-11-17 - 19:53;32.00;37.8;5.7;4.0;1204;16.4;3.8;42;-60;0;0.0;
2021-11-17 - 19:53;32.50;38.6;5.6;4.0;1236;16.4;3.8;42;-60;0;0.0;
2021-11-17 - 19:53;33.00;39.3;5.5;4.0;1255;16.4;3.8;42;-74;0;0.0;
2021-11-17 - 19:53;33.50;38.6;5.0;4.0;1180;16.5;3.8;42;-74;0;0.0;
2021-11-17 - 19:53;34.00;37.1;6.3;4.0;1205;16.5;3.8;42;-66;0;0.0;
2021-11-17 - 19:53;34.50;37.5;6.2;4.0;1230;16.5;3.8;42;-66;0;0.0;
2021-11-17 - 19:53;35.00;37.0;5.6;4.0;1149;16.5;3.8;42;-67;0;0.0;
